School_ID,School_Name,Division_Name,School_Type,Year,History_Pass_Rate,Math_Pass_Rate,Reading_Pass_Rate,Science_Pass_Rate,Writing_Pass_Rate,Overall_Pass_Rate
170,Terra Centre Elementary,Fairfax County,Elem,2024-2025,,88.0,89.0,81.0,,86.0
190,Fairfax County Adult High,Fairfax County,High,2020-2021,17.0,8.0,21.0,5.0,10.0,12.2
190,Fairfax County Adult High,Fairfax County,High,2021-2022,0.0,33.0,2.0,23.0,,14.5
190,Fairfax County Adult High,Fairfax County,High,2022-2023,3.0,59.0,6.0,31.0,,24.8
190,Fairfax County Adult High,Fairfax County,High,2023-2024,33.0,69.0,25.0,53.0,,45.0
190,Fairfax County Adult High,Fairfax County,High,2024-2025,23.0,68.0,27.0,53.0,,42.8
200,Centreville High,Fairfax County,High,2020-2021,,77.0,90.0,76.0,81.0,81.0
200,Centreville High,Fairfax County,High,2021-2022,48.0,79.0,90.0,77.0,87.0,76.2
200,Centreville High,Fairfax County,High,2022-2023,,77.0,93.0,75.0,50.0,73.8
200,Centreville High,Fairfax County,High,2023-2024,,81.0,88.0,73.0,,80.7
200,Centreville High,Fairfax County,High,2024-2025,,86.0,88.0,77.0,,83.7
220,Dogwood Elementary,Fairfax County,Elem,2020-2021,,23.0,35.0,25.0,,27.7
220,Dogwood Elementary,Fairfax County,Elem,2021-2022,,49.0,50.0,45.0,,48.0
220,Dogwood Elementary,Fairfax County,Elem,2022-2023,,49.0,42.0,55.0,,48.7
220,Dogwood Elementary,Fairfax County,Elem,2023-2024,,44.0,40.0,40.0,,41.3
220,Dogwood Elementary,Fairfax County,Elem,2024-2025,,47.0,39.0,39.0,,41.7
250,Terraset Elementary,Fairfax County,Elem,2020-2021,,69.0,83.0,42.0,,64.7
250,Terraset Elementary,Fairfax County,Elem,2021-2022,,72.0,78.0,62.0,,70.7
250,Terraset Elementary,Fairfax County,Elem,2022-2023,,75.0,77.0,69.0,,73.7
250,Terraset Elementary,Fairfax County,Elem,2023-2024,,70.0,74.0,74.0,,72.7
250,Terraset Elementary,Fairfax County,Elem,2024-2025,,76.0,77.0,73.0,,75.3
260,Clearview Elementary,Fairfax County,Elem,2020-2021,,53.0,62.0,55.0,,56.7
260,Clearview Elementary,Fairfax County,Elem,2021-2022,,61.0,66.0,48.0,,58.3
260,Clearview Elementary,Fairfax County,Elem,2022-2023,,62.0,61.0,62.0,,61.7
260,Clearview Elementary,Fairfax County,Elem,2023-2024,,70.0,68.0,70.0,,69.3
260,Clearview Elementary,Fairfax County,Elem,2024-2025,,68.0,65.0,73.0,,68.7
280,Sunrise Valley Elementary,Fairfax County,Elem,2020-2021,,77.0,86.0,81.0,,81.3
280,Sunrise Valley Elementary,Fairfax County,Elem,2021-2022,,84.0,87.0,78.0,,83.0
280,Sunrise Valley Elementary,Fairfax County,Elem,2022-2023,,84.0,86.0,84.0,,84.7
280,Sunrise Valley Elementary,Fairfax County,Elem,2023-2024,,83.0,87.0,69.0,,79.7
280,Sunrise Valley Elementary,Fairfax County,Elem,2024-2025,,89.0,90.0,79.0,,86.0
290,Fairview Elementary,Fairfax County,Elem,2020-2021,,69.0,85.0,60.0,,71.3
290,Fairview Elementary,Fairfax County,Elem,2021-2022,,81.0,87.0,70.0,,79.3
290,Fairview Elementary,Fairfax County,Elem,2022-2023,,82.0,85.0,85.0,,84.0
290,Fairview Elementary,Fairfax County,Elem,2023-2024,,84.0,88.0,84.0,,85.3
290,Fairview Elementary,Fairfax County,Elem,2024-2025,,88.0,89.0,82.0,,86.3
300,Rocky Run Middle,Fairfax County,Middle,2020-2021,,85.0,92.0,87.0,,88.0
300,Rocky Run Middle,Fairfax County,Middle,2021-2022,,92.0,93.0,89.0,,91.3
300,Rocky Run Middle,Fairfax County,Middle,2022-2023,,91.0,92.0,89.0,,90.7
300,Rocky Run Middle,Fairfax County,Middle,2023-2024,,92.0,90.0,89.0,,90.3
300,Rocky Run Middle,Fairfax County,Middle,2024-2025,,93.0,93.0,90.0,,92.0
320,Franconia Elementary,Fairfax County,Elem,2020-2021,,36.0,64.0,37.0,,45.7
320,Franconia Elementary,Fairfax County,Elem,2021-2022,,60.0,70.0,36.0,,55.3
320,Franconia Elementary,Fairfax County,Elem,2022-2023,,66.0,68.0,65.0,,66.3
320,Franconia Elementary,Fairfax County,Elem,2023-2024,,73.0,70.0,66.0,,69.7
320,Franconia Elementary,Fairfax County,Elem,2024-2025,,75.0,72.0,70.0,,72.3
330,Groveton Elementary,Fairfax County,Elem,2020-2021,,23.0,41.0,24.0,,29.3
330,Groveton Elementary,Fairfax County,Elem,2021-2022,,40.0,53.0,46.0,,46.3
330,Groveton Elementary,Fairfax County,Elem,2022-2023,,45.0,52.0,48.0,,48.3
330,Groveton Elementary,Fairfax County,Elem,2023-2024,,47.0,55.0,39.0,,47.0
330,Groveton Elementary,Fairfax County,Elem,2024-2025,,52.0,53.0,51.0,,52.0
350,Hughes Middle,Fairfax County,Middle,2020-2021,,56.0,75.0,59.0,,63.3
350,Hughes Middle,Fairfax County,Middle,2021-2022,,68.0,77.0,68.0,,71.0
350,Hughes Middle,Fairfax County,Middle,2022-2023,,73.0,78.0,66.0,,72.3
