registration_number,system_id,entity_name,carrier_category,status,structure_type,overall_height_agl,overall_height_amsl,city,state,county_fips,zip_code
A1198846,1314035,"Precision Cell, LLC",Other,C,LTOWER,68.5,69.8,Sandy Hook,VA,51075,23153
A1174960,1314059,"Powhatan, County of",Government,C,LTOWER,121.9,123.4,Powhatan,VA,51145,23139
A1238314,1314115,Milestone Towers,Tower Infrastructure,C,MTOWER,35.1,35.7,WARRENTON,VA,51061,20186
A1217891,1314226,,Unknown,C,LTOWER,76.3,77.6,West Point,VA,51101,23181
A1162476,1314295,,Unknown,G,RIG,13.7,13.7,King George,VA,51099,22485
A1149206,1314432,,Unknown,G,POLE,9.1,9.1,Virginia Beach,VA,51810,23451
A1196488,1314447,,Unknown,A,MTOWER,59.4,60.7,Vernon Hill,VA,51083,24597
A1193558,1314458,Commonwealth of Virginia  Department of Aviation,Government,C,LTOWER,15.2,15.2,Chesapeake,VA,51550,23321
A1294057,1314494,,Unknown,C,POLE,7.8,7.8,Virginia Beach,VA,51810,23462
A1146373,1314596,,Unknown,G,MTOWER,12.1,12.1,Dulles,VA,51107,20166
A1294047,1314658,,Unknown,G,MTOWER,45.7,46.9,HUDDLESTON,VA,51019,24104
A1192124,1314667,,Unknown,A,LTOWER,76.2,77.4,Howardsville,VA,51029,24562
A1134137,1314685,,Unknown,G,MTOWER,42.6,42.6,Wallops Island,VA,51001,23337
A1204224,1314792,,Unknown,C,MTOWER,48.7,49.9,Hillsville,VA,51035,24343
A1294038,1314835,,Unknown,C,POLE,7.6,7.6,Virginia Beach,VA,51810,23462
A1279667,1314946,,Unknown,C,MTOWER,39.3,45.1,Lynchburg,VA,51031,24504
A1165349,1315031,Mecklenburg Electri Cooperative,Other,G,POLE,27.4,27.4,Clarksville,VA,51117,23927
A1176574,1315158,Virginia Electric and Power Company,Utility Infrastructure,C,LTOWER,70.1,71.6,Pamplin,VA,51147,23958
A1184264,1315233,,Unknown,C,POLE,7.9,7.9,Virginia Beach,VA,51810,23451
A1197534,1315242,Town of Leesburg Leesburg Executive Airport,Other,C,BANT,8.3,11.6,Leesburg,VA,51107,20175
A1294016,1315252,,Unknown,C,POLE,7.9,7.9,Virginia Beach,VA,51810,23451
A1300671,1315312,,Unknown,C,MTOWER,44.2,45.4,Topping,VA,51119,23169
A1308573,1315416,,Unknown,C,MTOWER,50.2,51.5,Pungoteague,VA,51001,23401
A1176095,1315454,,Unknown,C,MTOWER,59.4,60.6,Waynesboro,VA,51015,22980
A1218802,1315549,,Unknown,C,LTOWER,36.6,38.1,Mechanicsville,VA,51085,23111
A1340371,1315657,,Unknown,C,MTOWER,39.9,39.9,Fredericksburg,VA,51179,22406
A1249436,1315677,Milestone Towers,Tower Infrastructure,C,MTOWER,50.0,50.6,STAFFORD COURTHOUSE,VA,51179,22554
A1176582,1315718,,Unknown,C,MTOWER,42.4,43.2,Abingdon,VA,51191,24212
A1161720,1315727,,Unknown,G,MTOWER,59.4,60.6,Norton,VA,51195,24273
A1174788,1315747,County of Shenandoah,Government,C,LTOWER,61.0,68.6,Mt. Jackson,VA,51171,22842
A1332775,1315772,,Unknown,C,MTOWER,59.4,60.7,Arkandale,VA,51179,22554
A1158120,1315794,,Unknown,G,MTOWER,59.4,60.6,Roanoke,VA,51770,24013
A1342933,1315866,,Unknown,C,MTOWER,31.0,33.0,Broadway,VA,51165,22815
A1262465,1315942,,Unknown,C,LTOWER,79.2,82.6,Crewe,VA,51135,23930
A1161885,1315979,,Unknown,G,MTOWER,59.4,60.7,Richmond,VA,51087,23223
A1209536,1316051,,Unknown,C,MTOWER,59.4,60.7,Manakin Sabot,VA,51075,23103
A1340866,1316068,,Unknown,C,MTOWER,59.4,60.7,Gate City,VA,51169,24251
A1305988,1316124,,Unknown,C,MTOWER,43.9,43.9,Glenn Allen,VA,51087,23059
A1252290,1316170,Milestone Towers,Tower Infrastructure,C,MTOWER,36.6,37.2,WOODBRIDGE,VA,51153,22191
A1193535,1316179,,Unknown,C,POLE,7.8,7.8,Virginia Beach,VA,51810,23451
A1218078,1316200,,Unknown,C,POLE,7.6,7.6,Virginia Beach,VA,51810,23452
A1174824,1316239,,Unknown,C,MTOWER,60.7,60.7,Woolwine,VA,51141,24185
A1250459,1316247,Milestone Towers,Tower Infrastructure,C,MTOWER,46.9,47.5,LYNCHBURG,VA,51680,24502
A1165725,1316403,,Unknown,G,POLE,7.7,7.7,Virginia Beach,VA,51810,23462
A1238778,1316432,Milestone Towers,Tower Infrastructure,C,MTOWER,50.3,50.9,FAIRFAX STATION,VA,51059,22039
A1203938,1316460,Virginia Coalfield Coalition,Other,C,LTOWER,60.4,60.4,Nickelsville,VA,51169,24271
A1209473,1316482,,Unknown,C,RIG,28.4,28.4,Mechanicsville,VA,51085,23116
A1223520,1316515,County of Shenandoah,Government,C,MTOWER,59.4,64.0,NEW MARKET,VA,51171,22844
A1169940,1316575,,Unknown,G,LTOWER,86.9,89.9,Woodford,VA,51033,22580
A1171415,1316651,,Unknown,G,MTOWER,36.5,37.8,Roanoke,VA,51161,24019
A1204323,1316672,"Shenandoah Mobile, LLC",Regional Carrier,A,LTOWER,91.4,92.7,Edinburg,VA,51171,22824
A1192962,1316780,,Unknown,C,MTOWER,59.4,60.7,Stonewall,VA,51011,24538
A1191953,1316900,,Unknown,A,MTOWER,91.4,92.9,Lawrenceville,VA,51025,23868
A1212764,1317002,Milestone Towers,Tower Infrastructure,A,MTOWER,35.4,35.4,VIENNA,VA,51059,22182
A1172282,1317173,,Unknown,G,POLE,10.6,10.6,Newport News,VA,51700,23602
A1286309,1317203,,Unknown,C,POLE,11.0,12.5,Norfolk,VA,51710,23505
