registration_number,system_id,entity_name,carrier_category,status,structure_type,overall_height_agl,overall_height_amsl,city,state,county_fips,zip_code
A0001896,1001761,,Unknown,A,TOWER,87.0,91.0,RICHMOND,VA,51041,23831
A0005476,1004631,,Unknown,A,TOWER,48.8,53.3,ROANOKE,VA,51023,24064
A0078297,1011247,,Unknown,A,MAST,56.0,60.7,ROCKBRIDGE,VA,51163,24450
A0019055,1015910,NEWPORT NEWS SHIPBUILDING,Other,C,B,12.8,34.1,NEWPORT NEWS,VA,51700,23607
A0019990,1016653,WXGM INC,Other,C,TOWER,86.6,94.2,GLOUCESTER,VA,51073,23061
A0021401,1017844,"VIRGINIA, COMMONWEALTH OF",Government,C,TOWER,127.0,127.0,RICHMOND,VA,51041,23225
A0021404,1017846,"VIRGINIA, COMMONWEALTH OF  DBA =  DEPARTMENT OF STATE POLICE",Government,C,TOWER,109.7,112.8,MINERAL,VA,51109,23117
A0021413,1017852,"VIRGINIA, COMMONWEALTH OF",Government,C,TOWER,135.0,135.0,WAVERLY,VA,51149,23842
A0021424,1017860,"VIRGINIA, COMMONWEALTH OF",Government,C,TOWER,76.2,81.0,SPROUSES,VA,51029,23936
A0334027,1018961,,Unknown,A,B,26.8,26.8,NORFOLK,VA,51710,23518
A0025153,1021068,,Unknown,A,TOWER,126.4,126.4,NEWPORT NEWS,VA,51650,23605
A0025155,1021070,,Unknown,A,POLE,48.1,48.1,CHESAPEAKE,VA,51550,23324
A0025156,1021071,,Unknown,A,B,51.5,51.5,NORFOLK,VA,51710,23510
A0027477,1023033,,Unknown,A,TOWER,54.9,60.7,GALAX,VA,51640,24333
A0030277,1025509,,Unknown,A,POLE,45.7,45.7,VIRGINIA BEACH,VA,51810,23456
A0030278,1025510,,Unknown,A,POLE,44.1,44.1,VIRGINIA BEACH,VA,51810,23521
A0048591,1041251,,Unknown,A,TOWER,82.3,82.3,THORNBURG,VA,51177,22580
A0050659,1042999,"VIRGINIA, COMMONWEALTH OF  DBA =  MARINE RESOURCES COMMISSION",Government,C,TOWER,91.4,96.0,FAIRPORT,VA,51133,22539
A0067384,1057337,,Unknown,A,TOWER,76.2,82.3,STAFFORD,VA,51179,22554
A0117168,1057338,,Unknown,A,TOWER,76.2,79.0,MOUNT,VA,51179,22134
A0072339,1061836,TRITON PCS LLC  DBA =  TRITON PCS,Other,A,TOWER,30.2,30.2,ASHLAND,VA,51085,23005
A0072340,1061837,TRITON PCS LLC  DBA =  TRITON PCS,Other,A,TOWER,57.9,57.9,POINDEXTERS,VA,51085,23005
A0072341,1061838,TRITON PCS LLC  DBA =  TRITON PCS,Other,A,TOWER,45.7,45.7,PETERSBURG,VA,51053,23803
A0072349,1061846,TRITON PCS LLC  DBA =  TRITON PCS,Other,A,TOWER,47.2,47.2,RICHMOND,VA,51760,23225
A0072351,1061848,TRITON PCS LLC  DBA =  TRITON PCS,Other,A,TOWER,48.8,48.8,RICHMOND,VA,51760,23225
A0072353,1061850,TRITON PCS LLC  DBA =  TRITON PCS,Other,A,TOWER,57.9,57.9,GLENN ALLEN,VA,51087,23060
A0076860,1001298,RUARCH ASSOCIATES LIMITED PARTNERSHIP  DBA =  RADIO STATION WAZR,Broadcasting/Media,C,TOWER,99.0,109.0,EDINBURG,VA,51171,22824
A0119466,1001758,,Unknown,A,TOWER,31.0,31.0,ASHLAND,VA,51085,23005
A0108213,1001959,,Unknown,A,TOWER,46.0,52.0,BOYKINS,VA,51175,23827
A0275430,1002705,,Unknown,A,TOWER,79.2,83.8,CATAWBA,VA,51161,24070
A0118111,1007833,,Unknown,A,TOWER,106.7,106.7,CHARLES CITY,VA,51036,23030
A0116518,1008164,,Unknown,A,POLE,25.9,25.9,VIRGINIA BEACH,VA,51810,23452
A0116519,1008183,,Unknown,A,TOWER,39.6,39.6,PORTSMOUTH,VA,51740,23704
A0014779,1012342,,Unknown,C,TOWER,123.0,124.0,SUFFOLK,VA,51800,23434
A0017400,1014561,TRI CITIES BROADCASTING CORPORATION  DBA =  WGAT RADIO,Broadcasting/Media,C,TOWER,45.1,45.1,GATE CITY,VA,51169,24251
A0090386,1014690,,Unknown,A,POLE,33.8,33.8,ALEXANDRIA,VA,51059,22309
A0019054,1015909,NEWPORT NEWS SHIPBUILDING,Other,C,TOWER,30.4,33.5,NEWPORT NEWS,VA,51700,23602
A0019056,1015911,NEWPORT NEWS SHIPBUILDING,Other,C,TOWER,89.9,91.4,NEWPORT NEWS,VA,51700,23607
A0019303,1016113,"LOUDOUN, COUNTY OF",Government,C,TOWER,36.0,41.5,LEESBURG,VA,51107,20175
A0598961,1016208,,Unknown,C,TOWER,64.0,65.2,FREDERICKSBURG,VA,51179,22405
A0019598,1016345,HAMPTON UNIVERSITY  DBA =  WHOV FM,Other,C,TOWER,61.0,61.9,HAMPTON,VA,51650,23669
A0451760,1016487,,Unknown,A,TOWER,32.3,32.3,CHANTILLY,VA,51059,22033
A0020218,1016838,LYH BROADCASTING L C,Broadcasting/Media,C,TOWER,30.5,31.0,ELON,VA,51009,24574
A0020262,1016879,RADIO WISE INC  DBA =  RADIO STATION WNVA/WNVA FM,Broadcasting/Media,C,TOWER,111.3,112.2,WISE,VA,51195,24293
A0020425,1017002,RAPPAHANNOCK COMMUNICATIONS INC  DBA =  WRAR AM,Other,C,TOWER,104.0,104.8,TAPPAHANNOCK,VA,51159,22572
A0020434,1017010,DICKENSON COUNTY BROADCASTING CORPORATION  DBA =  WDIC AM & WDIC FM,Broadcasting/Media,C,TOWER,62.0,63.5,CLINTWOOD,VA,51051,24228
A0020624,1017155,RCTC WHOLESALE CORPORATION  DBA =  CELLULAR ONE,Other,C,TOWER,80.5,80.5,MIDLOTHIAN,VA,51041,23114
A0185805,1017262,,Unknown,C,TOWER,111.8,112.7,SUTHERLIN,VA,51143,24594
A0020826,1017325,"SUFFOLK, CITY OF",Government,C,TOWER,123.4,129.5,SUFFOLK,VA,51800,23435
A0020827,1017326,"SUFFOLK, CITY OF",Government,C,TOWER,123.4,128.0,SUFFOLK,VA,51800,23438
A0020828,1017327,"SUFFOLK, CITY OF",Government,C,TOWER,61.5,67.6,SUFFOLK,VA,51800,23434
A0020958,1017442,WKGM INC,Other,C,TOWER,150.3,153.0,SMITHFIELD,VA,51093,23430
A0495811,1017598,"Blue Ridge Public Television, Inc.",Broadcasting/Media,C,TOWER,60.5,82.8,ROANOKE,VA,51161,24153
A0021193,1017655,RAPPAHANNOCK ELECTRIC COOPERATIVE,Utility Infrastructure,C,TOWER,110.3,110.3,KING WILLIAM COUNTY,VA,51101,23086
A0021212,1017673,,Unknown,C,BPOLE,51.0,62.0,VIRGINIA BEACH,VA,51810,23451
A0021302,1017754,FRANKLIN BROADCASTING CORPORATION  DBA =  WLQM,Broadcasting/Media,C,TOWER,61.0,62.0,FRANKLIN,VA,51620,23851
A0021363,1017810,CLARK BROADCASTING COMPANY  DBA =  WCYK FM,Broadcasting/Media,C,TOWER,7.6,7.6,CROZET,VA,51003,22932
A0021365,1017812,CLARK BROADCASTING COMPANY  DBA =  WCYK AM,Broadcasting/Media,C,TOWER,91.4,92.3,CROZET,VA,51003,22932
A0021402,1017845,"VIRGINIA, COMMONWEALTH OF",Government,C,TOWER,114.0,117.0,PETERSBURG,VA,51053,23805
A0021405,1017847,"VIRGINIA, COMMONWEALTH OF",Government,C,TOWER,61.0,61.0,WARRENTON,VA,51061,20186
A0021414,1017853,"VIRGINIA, COMMONWEALTH OF",Government,C,TOWER,69.0,73.0,EMPORIA,VA,51081,23847
A0021415,1017854,"VIRGINIA, COMMONWEALTH OF",Government,C,TOWER,55.0,59.0,MELFA,VA,51001,23410
A0021418,1017857,"VIRGINIA, COMMONWEALTH OF",Government,C,TOWER,91.0,96.0,FAIRFAX,VA,51059,22032
A0021427,1017863,"VIRGINIA, COMMONWEALTH OF",Government,C,TOWER,87.0,87.0,POWHATAN,VA,51145,23139
A0021503,1017922,"NEWPORT NEWS, CITY OF",Government,C,TOWER,54.8,61.0,NEWPORT NEWS,VA,51700,23606
A0021582,1017986,STONE BROADCASTING CORPORATION  DBA =  WEVA RADIO,Broadcasting/Media,C,TOWER,73.2,73.2,EMPORIA,VA,51595,23847
A0021715,1018104,WAVY BROADCASTING INC,Broadcasting/Media,C,TOWER,271.0,313.0,SUFFOLK,VA,51800,23435
A0021717,1018106,WAVY BROADCASTING INC,Broadcasting/Media,C,TOWER,152.0,152.0,SUFFOLK,VA,51800,23435
A0021728,1018117,MECKLENBURG ELECTRIC COOPERATIVE,Utility Infrastructure,C,TOWER,79.2,79.2,EMPORIA,VA,51081,23847
A0021737,1018124,FARMVILLE HERALD INC,Other,C,TOWER,100.0,100.6,FARMVILLE,VA,51147,23960
A0021753,1018136,D J BROADCASTING INC  DBA =  WKDE,Broadcasting/Media,C,TOWER,82.0,82.0,ALTAVISTA,VA,51031,24517
A0021775,1018155,COLONIAL BROADCASTING CO OF CREWE INC,Broadcasting/Media,C,TOWER,106.7,107.6,CREWE,VA,51135,23922
A0288225,1018164,"Base Communications, Inc.",Other,C,TOWER,61.0,61.9,BLACKSBURG,VA,51121,24060
A0021851,1018224,CENTRAL VIRGINIA EDUCATIONAL TELECOMMUNICATIONS CORP,Other,C,TOWER,84.0,90.9,COBBS CREEK,VA,51115,23035
A0021852,1018225,CENTRAL VIRGINIA EDUCATIONAL TELECOMMUNICATIONS CORP,Other,C,TOWER,61.6,68.5,HALIFAX,VA,51083,24558
A0021853,1018226,CENTRAL VIRGINIA EDUCATIONAL TELECOMMUNICATIONS CORP,Other,C,TOWER,83.7,90.5,HEATHSVILLE,VA,51133,22473
A0021912,1018279,TWIN COUNTY BROADCASTING CORPORATION,Broadcasting/Media,C,TOWER,45.7,47.2,GALAX,VA,51640,24333
A0021925,1018290,CLARK BROADCASTING COMPANY  DBA =  WKDW/WSVO,Broadcasting/Media,C,TOWER,90.5,91.4,STAUNTON,VA,51820,22980
A0021937,1018302,HIGH KNOB BROADCASTERS INC  DBA =  WGTH AM,Other,C,TOWER,128.0,129.5,CEDAR BLUFF,VA,51185,24641
A0021938,1018303,HIGH KNOB BROADCASTERS INC  DBA =  WGTH FM,Other,C,TOWER,90.2,91.1,RICHLANDS,VA,51185,24602
A0021962,1018322,DENBAR COMMUNICATIONS INC  DBA =  WKLV WBBC RADIO,Broadcasting/Media,C,POLE,106.7,121.6,BLACKSTONE,VA,51135,23824
A0022312,1018633,PRESTON COMMUNICATIONS GROUP INC,Other,G,TOWER,59.0,59.0,WISE,VA,51195,24293
A0022334,1018648,NEW LIFE MINISTRIES INC  DBA =  WNLR,Other,C,TOWER,86.0,86.9,CHURCHVILLE,VA,51015,24421
A0022408,1018711,,Unknown,C,B,53.0,55.0,FALLS CHURCH,VA,51059,22041
A0022435,1018735,WTKF INC  DBA =  WKCW,Other,C,TOWER,61.9,62.8,WARRENTON,VA,51061,20187
A0022814,1019050,SHENANDOAH COUNTY BROADCASTING CORP,Broadcasting/Media,C,TOWER,87.0,87.0,MOUNT JACKSON,VA,51171,22842
A0252574,1019821,,Unknown,A,POLE,38.1,38.1,SPRINGFIELD,VA,51059,22153
A0024783,1020762,CHARLOTTESVILLE BROADCASTING CORPORATION  DBA =  WQMZ FM,Broadcasting/Media,C,TOWER,103.9,104.8,CHARLOTTESVILLE,VA,51003,22901
A0027729,1023243,WKEY INC,Other,C,TOWER,99.0,99.0,COVINGTON,VA,51580,24426
A0027854,1023354,,Unknown,C,TOWER,64.0,64.0,MIDLOTHIAN,VA,51041,23112
A0120852,1023600,,Unknown,A,POLE,56.4,60.7,RICHMOND,VA,51041,23234
A0028787,1024115,"WISE, COUNTY OF",Government,C,TANK,32.9,32.9,TACOMA,VA,51195,24293
A0029123,1024400,DOUGLAS E CATON,Other,C,TOWER,93.0,94.1,MADISON HEIGHTS,VA,51009,24572
A0029690,1025027,,Unknown,G,TOWER,151.0,152.0,CAPE CHARLES,VA,51131,23310
A0118413,1025677,,Unknown,A,MAST,39.6,45.4,NORFOLK,VA,51710,23502
A0032587,1027466,HAMPTON ROADS EDUCATIONAL TELECOMMUNICATIONS ASSOCIATION INC  DBA =  WHRO,Other,C,TOWER,76.2,82.3,CHARLES CITY,VA,51036,23140
A0032588,1027467,HAMPTON ROADS EDUCATIONAL TELECOMMUNICATIONS ASSOCIATION INC  DBA =  WHRO,Other,C,TOWER,127.1,128.9,MATHEWS,VA,51115,23109
A0032591,1027469,HAMPTON ROADS EDUCATIONAL TELECOMMUNICATIONS ASSOCIATION INC  DBA =  WHRO,Other,C,TOWER,57.9,61.0,BURROWSVILLE,VA,51149,23881
A0032592,1027470,HAMPTON ROADS EDUCATIONAL TELECOMMUNICATIONS ASSOCIATION INC  DBA =  WHRO,Other,C,TOWER,60.3,61.2,FRANKLIN,VA,51620,23851
A0692621,1027472,HAMPTON ROADS EDUCATIONAL TELECOMMUNICATIONS ASSOCIATION INC  DBA =  WHRO,Other,C,TOWER,55.2,55.2,NORFOLK,VA,51710,23508
A0740973,1027475,HAMPTON ROADS EDUCATIONAL TELECOMMUNICATIONS ASSOCIATION INC  DBA =  WHRO,Other,G,TOWER,67.1,67.1,ONLEY,VA,51001,23410
A0032598,1027476,HAMPTON ROADS EDUCATIONAL TELECOMMUNICATIONS ASSOCIATION INC  DBA =  WHRO,Other,C,TOWER,87.4,89.6,NEWPORT NEWS,VA,51700,23606
A0032599,1027477,HAMPTON ROADS EDUCATIONAL TELECOMMUNICATIONS ASSOCIATION INC  DBA =  WHRO,Other,C,TOWER,88.3,91.4,WEST POINT,VA,51101,23181
A0134738,1028805,,Unknown,A,B,34.1,34.1,STERLING,VA,51107,20165
A0568395,1029470,,Unknown,A,TOWER,91.0,91.0,PAWHATAN,VA,51145,23139
A0035602,1030042,,Unknown,A,TOWER,60.6,60.6,STERLING,VA,51107,20166
A0121415,1032356,,Unknown,A,POLE,15.2,15.2,BLACKSBURG,VA,51121,24060
A0118793,1033889,CHESAPEAKE PUBLIC SCHOOLS WFOS RADIO,Broadcasting/Media,C,TOWER,52.7,52.7,DEEP CREEK,VA,51550,23322
A0091053,1035718,,Unknown,A,POLE,64.0,64.0,GREAT FALLS,VA,51059,22066
A0046424,1039478,COMMUNITY WIRELESS STRUCTURES,Other,G,TOWER,58.2,60.7,MANASSAS,VA,51153,20109
A0733007,1040481,"Mid Atlantic Tower, LLC",Tower Infrastructure,C,TOWER,101.2,105.8,FREEMAN,VA,51025,23856
A0507216,1041385,NEXTEL COMMUNICATION OF THE MID ATLANTIC INC  DBA =  NEXTEL COMMUNICATIONS,T-Mobile,A,POLE,27.7,30.4,ALEXANDRIA,VA,51059,22060
A0191187,1041430,"SPRINTCOM, INC. DBA SPRINT PCS",T-Mobile,A,TOWER,38.7,40.2,RICHMOND,VA,51087,23231
A0117980,1041709,,Unknown,A,TOWER,102.7,103.6,HOLLY CORNER,VA,51179,22406
A0049203,1041737,"NORFOLK, CITY OF",Government,C,BANT,55.8,77.1,NORFOLK,VA,51710,23510
A0049669,1042128,"MOORE, REGINA KAY",Other,G,TOWER,150.0,151.0,JONESVILLE,VA,51105,24263
A0050265,1042655,IMPACT BROADCASTING INC  DBA =  WXCF AM FM,Broadcasting/Media,C,TOWER,68.3,68.3,CLIFTON FORGE,VA,51005,24422
A0124282,1043034,"SPRINTCOM, INC. DBA SPRINT PCS",T-Mobile,A,TOWER,45.7,47.2,POQUOSON,VA,51199,23693
A0124283,1045529,SPRINTCOM INC,T-Mobile,A,TOWER,45.7,48.8,HENRICO COUNTY,VA,51087,23223
A0054039,1045864,FEDERAL BUREAU OF INVESTIGATION,Government,C,TOWER,61.0,67.0,QUANTICO,VA,51153,22134
A0055885,1047484,,Unknown,C,MAST,45.7,50.3,NORFOLK,VA,51710,23509
A0268480,1047493,"SPRINTCOM, INC.  DBA =  SPRINT PCS",T-Mobile,A,TOWER,57.9,59.4,ASHLAND,VA,51085,23005
A0056282,1047843,JLC PROPERTIES INC,Other,C,TOWER,91.0,92.0,HALIFAX COUNTY,VA,51083,24589
A0191188,1047955,"SPRINTCOM, INC.  DBA =  SPRINT PCS",T-Mobile,A,TOWER,45.7,47.2,CHESAPEAKE,VA,51550,23324
A0056607,1048115,BRISTOL BROADCASTING CO INC,Broadcasting/Media,C,3TA1,62.2,63.1,BRISTOL,VA,51520,24201
A0056608,1048116,BRISTOL BROADCASTING CO INC,Broadcasting/Media,C,3TA2,62.2,63.1,BRISTOL,VA,51520,24201
A0056609,1048117,BRISTOL BROADCASTING CO INC,Broadcasting/Media,C,3TA3,62.2,63.1,BRISTOL,VA,51520,24201
A0120803,1048551,,Unknown,A,TOWER,36.5,36.5,RICHMOND,VA,51087,23231
A0492106,1048676,Peggy Sue Broadcasting Inc.,Broadcasting/Media,C,TOWER,64.0,65.2,GRUNDY,VA,51027,24614
A0057265,1048677,VA KY BROADCASTING CO INC,Broadcasting/Media,C,TOWER,30.4,30.4,GRUNDY,VA,51027,24614
A0064396,1054738,,Unknown,C,TOWER,88.4,88.4,BLUEFIELD,VA,51021,24366
A0066332,1056422,PIEDMONT BROADCASTING CORPORATION,Broadcasting/Media,C,TOWER,91.4,98.6,PITTSYLVANIA COUNTY,VA,51143,24540
A0066683,1056728,M AND M COMMUNICATIONS INC,Other,G,TOWER,151.4,152.1,URBANNA,VA,51119,23149
A0191191,1056747,"SPRINTCOM, INC.  DBA =  SPRINT PCS",T-Mobile,A,TOWER,41.5,43.9,PETERSBURG,VA,51041,23803
A0066755,1056784,DUFFIELD BROADCASTING COMPANY,Broadcasting/Media,C,TOWER,68.5,69.3,DUFFIELD,VA,51169,24244
A0556637,1058039,"Nextel Communications of the Mid-Atlantic, Inc.",T-Mobile,A,TOWER,86.0,86.0,WESTOVER,VA,51550,23322
A0317078,1058242,,Unknown,A,POLE,39.6,39.6,ALDIE,VA,51107,20152
A0252554,1058293,,Unknown,A,TOWER,59.7,60.4,STAFFORD,VA,51179,22554
A0068529,1058322,"CHESTERFIELD, COUNTY OF",Government,C,MAST,54.8,55.7,CHESTERFIELD,VA,51041,23832
A0068914,1058653,MARTINSVILLE BROADCASTING INC,Broadcasting/Media,C,TOWER,121.8,122.8,MARTINSVILLE,VA,51690,24112
A0069040,1058771,"VIRGINIA, STATE OF",Other,G,POLE,7.6,14.6,HERNDON,VA,51059,20170
A0404779,1059350,,Unknown,C,TOWER,99.0,100.6,DARVILLS,VA,51053,23872
A0317210,1059948,,Unknown,A,TANK,47.2,50.3,VIRGINIA BEACH,VA,51810,23452
A0117072,1061124,,Unknown,A,TOWER,83.8,83.8,VIRGINIA BEACH,VA,51810,23456
A0281568,1061778,,Unknown,A,TOWER,39.6,44.2,LYNCHBURG,VA,51680,24501
A0332514,1061801,,Unknown,A,POLE,54.9,54.9,MIDLAND,VA,51061,22728
A0072647,1062133,,Unknown,C,BANT,34.4,41.8,NORFOLK,VA,51710,23504
A0072776,1062250,"SPOTSYLVANIA, COUNTY OF",Government,G,TOWER,146.0,152.0,SPOTSYLVANIA,VA,51177,22553
A0073110,1062565,VIRGINIA PENINSULA REGIONAL JAIL,Other,C,TOWER,54.9,61.0,WILLIAMSBURG,VA,51095,23185
A0073847,1063253,RUARCH ASSOCIATES LLC  DBA =  WAZT LPTV,Other,C,TOWER,46.0,56.0,WINCHESTER,VA,51840,22601
A0075098,1064453,,Unknown,C,TOWER,103.1,140.0,FAIRFAX STATION,VA,51059,22039
A0654149,1064470,,Unknown,C,TOWER,30.0,30.0,BRISTOL,VA,51520,24201
A0075495,1064842,J H LEE & SONS,Other,C,TOWER,76.2,81.7,COURTLAND,VA,51175,23837
A0075535,1064882,BASIC CONSTRUCTION COMPANY,Other,G,TOWER,21.0,27.0,NEWPORT NEWS,VA,51700,23602
A0246121,1064905,VIRGINIA INTERNATIONAL TERMINALS INC,Other,C,TOWER,18.0,18.0,NEWPORT NEWS,VA,51095,23603
A0105112,1064934,AREAWIDE COMMUNICATIONS INC.,Other,G,TOWER,91.4,97.5,ZUNI,VA,51093,23487
A0075645,1064988,YORK COUNTY OF VA,Government,C,TOWER,107.0,107.6,YORKTOWN,VA,51199,23690
A0556515,1065517,"Nextel Communications of the Mid-Atlantic, Inc.",T-Mobile,A,TOWER,67.0,69.2,QUANTICO,VA,51179,22554
A0076641,1065984,JACK L MASSIE,Other,C,TOWER,67.1,67.1,WILLIAMSBURG,VA,51095,23168
A0076674,1066017,"ESSEX, COUNTY OF",Government,C,TOWER,85.0,91.0,TAPPAHANNOCK,VA,51057,22560
A0149529,1203474,Tidewater Transportantion District Commission,Other,C,TOWER,58.0,62.0,Norfolk,VA,51710,23504
A0310943,1203683,,Unknown,A,TOWER,76.2,79.2,MITCHELLS,VA,51047,22733
A0097347,1203725,MECKLENBURG CO FIRE,Other,G,BTWR,100.6,106.7,Baskerville,VA,51117,23915
A0098184,1203918,NORTHERN VIRGINIA ELECTRIC COOPERATIVE,Utility Infrastructure,G,TOWER,64.0,64.0,STAFFORD,VA,51179,22556
A0149640,1204046,Shenandoah Valley Electric Cooperative,Utility Infrastructure,C,POLE,22.9,25.9,Mt. Crawford,VA,51165,22841
A0099375,1204441,Tidewater Realty & Security Corp.,Other,G,MAST,38.0,40.0,Hampton,VA,51650,23669
A0733006,1206340,"Mid Atlantic Tower, LLC",Tower Infrastructure,C,TOWER,131.1,131.1,Freeman,VA,51025,23856
A0144010,1208500,,Unknown,A,TOWER,76.2,79.2,AMISSVILLE,VA,51157,20106
A0250510,1208502,,Unknown,A,TOWER,76.2,79.2,SUMERDUCK,VA,51061,22742
A0110076,1208503,,Unknown,A,TOWER,45.7,48.8,WOODBRIDGE,VA,51153,22193
A0110078,1208504,,Unknown,A,TOWER,45.7,48.8,WOODBRIDGE,VA,51153,22192
A0250450,1208505,,Unknown,A,TOWER,45.7,48.8,WASHINGTON,VA,51157,22747
A0222659,1208506,,Unknown,A,TOWER,59.5,62.5,CHARLESTOWN,VA,54037,25425
A0184824,1209466,CROSSROADS FUEL SERVICE INC,Other,C,TOWER,22.8,24.3,Chesapeake,VA,51550,23322
A0184821,1209467,CROSSROADS FUEL SERVICE INC,Other,C,POLE,18.2,19.8,Franklin,VA,51093,23851
A0733008,1209548,"Mid Atlantic Tower, LLC",Tower Infrastructure,C,TOWER,137.2,149.4,Emporia,VA,51081,23847
A0220836,1209595,,Unknown,A,TOWER,45.7,48.8,Vienna,VA,51059,22180
A0220837,1209596,,Unknown,A,TOWER,59.5,60.7,Warrenton,VA,51061,20137
A0310941,1209611,,Unknown,A,TOWER,76.2,79.2,Culpepper,VA,51047,22713
A0250545,1209613,,Unknown,A,TOWER,61.0,64.0,Huntly,VA,51157,22640
A0233356,1209616,,Unknown,A,TOWER,59.5,63.7,Bealton,VA,51061,22712
A0250478,1209618,,Unknown,A,TOWER,59.5,61.6,Throughfare,VA,51153,20137
A0250454,1209619,,Unknown,A,TOWER,38.1,41.1,Fairfax,VA,51059,22030
A0250522,1209621,,Unknown,A,TOWER,59.5,60.7,Hillsboro,VA,51107,20132
A0220832,1209624,,Unknown,A,TOWER,59.5,64.0,Bardane,VA,54037,25442
A0192939,1209625,,Unknown,A,TOWER,45.7,48.8,Quantico,VA,51153,22134
A0250475,1209706,,Unknown,A,TOWER,36.6,39.6,FAIRFAX,VA,51059,22031
A0250496,1209709,,Unknown,A,TOWER,60.7,63.7,DELAPLANE,VA,51061,20144
A0195990,1209710,Georgia Pacific,Other,C,TOWER,24.4,32.0,EMPORIA,VA,51595,23847
A0186804,1210453,"A. D. WHITTAKER CONSTRUCTION, INC.",Defense/Gov Contractor,C,POLE,0.0,24.4,Ashland,VA,51085,23005
A0117319,1210651,Crestar Bank,Other,G,B,108.6,111.6,RICHMOND,VA,51760,23219
A0183163,1210745,"Lloyd E. Bennett, Inc.",Other,C,TOWER,85.0,91.1,TRIPLET,VA,51025,23868
A0250486,1210910,,Unknown,A,TOWER,45.7,48.8,LORTON,VA,51059,22079
A0250529,1210911,,Unknown,A,TOWER,59.5,62.5,SPERRYVILLE,VA,51157,22740
A0250502,1210913,,Unknown,A,TOWER,59.5,62.5,WASHINGTON,VA,51157,22749
A0733009,1211071,"Mid Atlantic Tower, LLC",Tower Infrastructure,C,TOWER,146.3,150.3,ALBERTA,VA,51025,23821
A0310940,1211666,,Unknown,A,TOWER,76.2,79.2,WOODFORD,VA,51033,22580
A0250443,1211667,,Unknown,A,TOWER,60.7,60.7,DELAPLANE,VA,51061,20144
A0122538,1212166,SHORE MEMORIAL HOSPITAL,Other,G,TOWER,34.1,34.1,NASSAWADOX,VA,51131,23413
A0127410,1213096,"Virginia Beach, City of",Government,A,TANK,59.4,59.4,Virginia Beach,VA,51810,23451
A0724242,1213251,,Unknown,G,TOWER,106.0,106.0,BRUNSWICK,VA,51025,23887
A0147334,1219257,,Unknown,G,TOWER,90.2,90.2,ASHBURN,VA,51107,20148
A0316609,1222396,,Unknown,A,TOWER,60.9,60.9,Warrenton,VA,51047,22741
A0229202,1224500,,Unknown,A,POLE,24.4,26.8,Arlington,VA,51013,22206
A0185930,1224849,VF Imagewear(East),Other,G,TOWER,76.2,76.2,MARTINSVILLE,VA,51089,24112
A0195775,1226364,,Unknown,A,TOWER,44.8,47.2,Loudoun County,VA,51107,20105
A0462006,1226438,"Mid Atlantic Tower, LLC",Tower Infrastructure,C,TOWER,100.6,106.4,SKIPPERS,VA,51081,23847
A0317617,1227014,,Unknown,A,POLE,18.3,19.8,Chantilly,VA,51059,20151
A0316612,1227898,,Unknown,A,POLE,57.9,60.7,Spotsylvania,VA,51177,22553
A0283921,1229571,,Unknown,A,POLE,42.7,44.5,Chantilly,VA,51107,20152
A0358696,1229603,,Unknown,A,SILO,24.4,26.8,Midland,VA,51061,22728
A0317534,1230006,,Unknown,A,TOWER,28.3,28.3,Richmond,VA,51085,23005
A0316611,1230011,,Unknown,A,TOWER,91.4,91.4,Richmond,VA,51033,22546
A0296683,1230012,,Unknown,A,TOWER,41.1,41.1,Norfolk,VA,51650,23669
A0271379,1231608,,Unknown,A,POLE,46.6,46.6,Nokesville,VA,51153,20112
A0244213,1232122,Capital Region Airport Commission,Other,G,TOWER,35.1,35.1,Richmond Int'l A/P,VA,51087,23150
A0264764,1232398,,Unknown,A,MAST,91.4,94.4,Weber City,VA,51169,24290
A0375961,1232516,,Unknown,A,TOWER,41.1,44.2,Sterling,VA,51107,20166
A0333214,1232884,"Mid Atlantic Tower, LLC",Tower Infrastructure,C,TOWER,91.4,91.4,Alberta,VA,51025,23821
A0280786,1232888,"Mid Atlantic Tower, LLC",Tower Infrastructure,C,TOWER,146.3,152.1,Emporia,VA,51081,23847
A0338693,1232892,"Mid Atlantic Tower, LLC",Tower Infrastructure,C,POLE,48.5,48.5,Emporia,VA,51081,23847
A0319712,1233198,,Unknown,A,POLE,39.6,42.4,Sterling,VA,51107,20166
A0334013,1233483,,Unknown,A,POLE,35.1,36.9,Manassas,VA,51153,20109
A0269342,1233486,"Mid Atlantic Tower, LLC",Tower Infrastructure,C,TOWER,76.2,83.8,Lawrenceville,VA,51025,23843
A0268864,1233487,"Mid Atlantic Tower, LLC",Tower Infrastructure,C,TOWER,76.2,83.8,Lawrenceville,VA,51025,23920
A0904365,1233489,"Mid Atlantic Tower, LLC",Tower Infrastructure,A,TOWER,74.4,74.4,Broadnax,VA,51025,23920
A0352605,1233529,,Unknown,A,POLE,25.6,27.4,Herndon,VA,51059,20171
A0267291,1233991,,Unknown,A,TOWER,54.8,59.4,Gasburg,VA,51025,23845
A0334519,1234027,,Unknown,A,POLE,36.6,39.0,LORTON,VA,51059,22079
A0499137,1234150,,Unknown,A,TOWER,76.2,76.2,Stony Creek,VA,51183,23882
A0499136,1234152,,Unknown,A,TOWER,60.7,60.7,Richmond,VA,51760,23224
