School_ID,School_Name,Division_Name,Year,Accreditation_Status,Num_L3_Indicators,Has_L3_Indicators
10,Magruder Elementary,York County,2023-2024,Accredited,0,False
80,Mount Vernon Elementary ,York County,2023-2024,Accredited,0,False
200,Queens Lake Middle,York County,2023-2024,Accredited,0,False
170,Seaford Elementary,York County,2023-2024,Accredited,0,False
50,Tabb Elementary,York County,2023-2024,Accredited,0,False
230,Tabb High,York County,2023-2024,Accredited,0,False
190,Tabb Middle,York County,2023-2024,Accredited,0,False
220,Waller Mill Elementary,York County,2023-2024,Accredited,0,False
30,York High,York County,2023-2024,Accredited,0,False
335,York River Academy,York County,2023-2024,Accredited,0,False
210,Yorktown Elementary,York County,2023-2024,Accredited,0,False
60,Yorktown Middle,York County,2023-2024,Accredited,0,False
701,Accawmacke Elementary,Accomack County,2024-2025,Accredited,0,False
540,Arcadia High,Accomack County,2024-2025,Accredited,0,False
704,Arcadia Middle ,Accomack County,2024-2025,Accredited with Conditions,1,True
80,Chincoteague Elementary,Accomack County,2024-2025,Accredited,0,False
580,Chincoteague High,Accomack County,2024-2025,Accredited,0,False
600,Kegotank Elementary,Accomack County,2024-2025,Accredited with Conditions,1,True
702,Metompkin Elementary,Accomack County,2024-2025,Accredited,0,False
70,Nandua High,Accomack County,2024-2025,Accredited,1,True
703,Nandua Middle,Accomack County,2024-2025,Accredited,0,False
590,Pungoteague Elementary,Accomack County,2024-2025,Accredited,0,False
530,Tangier Combined,Accomack County,2024-2025,Accredited,1,True
160,Agnor Elementary,Albemarle County,2024-2025,Accredited with Conditions,1,True
880,,Albemarle County,2024-2025,Accredited,0,False
1053,Baker-Butler Elementary,Albemarle County,2024-2025,Accredited,0,False
100,Broadus Wood Elementary,Albemarle County,2024-2025,Accredited,0,False
941,Brownsville Elementary,Albemarle County,2024-2025,Accredited,0,False
890,Community Lab School,Albemarle County,2024-2025,Accredited,0,False
340,Crozet Elementary,Albemarle County,2024-2025,Accredited,0,False
10,Hollymead Elementary,Albemarle County,2024-2025,Accredited,0,False
250,Ivy Elementary,Albemarle County,2024-2025,Accredited,0,False
69,Jackson P. Burley Middle,Albemarle County,2024-2025,Accredited with Conditions,2,True
942,Joseph T. Henley Middle,Albemarle County,2024-2025,Accredited,0,False
950,Journey Middle,Albemarle County,2024-2025,Accredited,2,True
1051,Lakeside Middle,Albemarle County,2024-2025,Accredited,0,False
20,Leslie H. Walton Middle,Albemarle County,2024-2025,Accredited,1,True
40,Mary Carr Greer Elementary,Albemarle County,2024-2025,Accredited,0,False
1052,Monticello High,Albemarle County,2024-2025,Accredited,0,False
150,Mountain View Elementary,Albemarle County,2024-2025,Accredited with Conditions,1,True
540,Red Hill Elementary,Albemarle County,2024-2025,Accredited,0,False
30,Scottsville Elementary,Albemarle County,2024-2025,Accredited,1,True
920,Stone Robinson Elementary,Albemarle County,2024-2025,Accredited,0,False
240,Stony Point Elementary,Albemarle County,2024-2025,Accredited,0,False
910,Virginia L. Murray Elementary,Albemarle County,2024-2025,Accredited,0,False
140,Western Albemarle High,Albemarle County,2024-2025,Accredited,0,False
930,Woodbrook Elementary,Albemarle County,2024-2025,Accredited with Conditions,3,True
210,Alexandria City High School,Alexandria City,2024-2025,Accredited with Conditions,1,True
110,Callaghan Elementary,Alleghany County,2024-2025,Accredited,0,False
360,Jeter-Watson Elementary,Alleghany County,2024-2025,Accredited,0,False
90,Sharon Elementary,Alleghany County,2024-2025,Accredited,0,False
350,Ferdinand T. Day Elementary,Alexandria City,2024-2025,Accredited with Conditions,1,True
210,Amelia County Middle,Amelia County,2024-2025,Accredited,3,True
780,Amelon Elementary,Amherst County,2024-2025,Accredited,0,False
750,Amherst County High,Amherst County,2024-2025,Accredited,0,False
790,Amherst Elementary,Amherst County,2024-2025,Accredited,0,False
90,Jefferson-Houston PK-8 School,Alexandria City,2024-2025,Accredited with Conditions,2,True
670,Amherst Middle,Amherst County,2024-2025,Accredited,0,False
760,Elon Elementary,Amherst County,2024-2025,Accredited,0,False
20,Monelison Middle,Amherst County,2024-2025,Accredited,1,True
60,Naomi L. Brooks Elementary,Alexandria City,2024-2025,Accredited with Conditions,1,True
740,Temperance Elementary,Amherst County,2024-2025,Accredited,0,False
260,Appomattox County High,Appomattox County,2024-2025,Accredited,0,False
110,Appomattox Elementary,Appomattox County,2024-2025,Accredited,0,False
310,Alleghany High,Alleghany County,2024-2025,Accredited with Conditions,2,True
160,Appomattox Middle,Appomattox County,2024-2025,Accredited,0,False
1040,Covington Middle,Alleghany County,2024-2025,Accredited with Conditions,5,True
250,Appomattox Primary,Appomattox County,2024-2025,Accredited,0,False
1041,Mountain View Elementary,Alleghany County,2024-2025,Accredited with Conditions,1,True
350,Abingdon Elementary,Arlington County,2024-2025,Accredited,1,True
220,Amelia County Elementary,Amelia County,2024-2025,Accredited with Conditions,2,True
10,Amelia County High,Amelia County,2024-2025,Accredited with Conditions,1,True
160,Alice West Fleet Elementary,Arlington County,2024-2025,Accredited,0,False
629,Arlington Science Focus School,Arlington County,2024-2025,Accredited,0,False
470,Arlington Traditional,Arlington County,2024-2025,Accredited,0,False
490,Ashlawn Elementary,Arlington County,2024-2025,Accredited,0,False
150,Barcroft Elementary,Arlington County,2024-2025,Accredited,0,False
770,Central Elementary,Amherst County,2024-2025,Accredited with Conditions,2,True
250,Barrett Elementary,Arlington County,2024-2025,Accredited,0,False
500,Madison Heights Elementary,Amherst County,2024-2025,Accredited with Conditions,1,True
615,Campbell Elementary,Arlington County,2024-2025,Accredited,0,False
