LONG_SCHOOL_YEAR,DETAIL_LVL_DESC,SCHOOL_DSTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,GRADES_SERVED_DESC,ENROLLMENT_PERIOD,GRADE_LEVEL,ENROLLMENT_COUNT,source_file,#RPT_NAME
2019-20,School,629,Clarke County,0391,Whit Davis Road Elementary School,"PK,KK,01,02,03,04,05",Fall,1st,63,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,School,629,Clarke County,1058,Clarke Middle School,"06,07,08",Fall,1st,0,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,District,629,Clarke County,ALL,All Column Values,"PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",Fall,1st,1051,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,School,629,Clarke County,4060,Oglethorpe Avenue Elementary School,"PK,KK,01,02,03,04,05",Fall,1st,100,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,School,629,Clarke County,5056,Chase Street Elementary School,"PK,KK,01,02,03,04,05",Fall,1st,89,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,School,629,Clarke County,5058,Hilsman Middle School,"06,07,08",Fall,1st,0,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,School,629,Clarke County,5556,Clarke Central High School,"09,10,11,12",Fall,1st,0,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,School,629,Clarke County,0105,Alps Road Elementary School,"PK,KK,01,02,03,04,05",Fall,2nd,54,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,School,629,Clarke County,0112,Judia Jackson Harris Elementary,"PK,KK,01,02,03,04,05",Fall,2nd,62,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,School,629,Clarke County,0178,Timothy Elementary School,"PK,KK,01,02,03,04,05",Fall,2nd,78,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,School,629,Clarke County,0191,Cleveland Road Elementary School,"PK,KK,01,02,03,04,05",Fall,2nd,38,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,School,629,Clarke County,0196,Coile Middle School,"06,07,08",Fall,2nd,0,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,School,629,Clarke County,0102,Cedar Shoals High School,"09,10,11,12",Fall,2nd,0,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,School,629,Clarke County,0104,Classic City High School,"09,10,11,12",Fall,2nd,0,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,School,629,Clarke County,3058,Fowler Drive Elementary School,"PK,KK,01,02,03,04,05",Fall,2nd,66,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,School,629,Clarke County,1062,Whitehead Road Elementary School,"PK,KK,01,02,03,04,05",Fall,2nd,108,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,School,629,Clarke County,2056,Barnett Shoals Elementary School,"PK,KK,01,02,03,04,05",Fall,2nd,76,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,School,629,Clarke County,2062,Winterville Elementary School,"PK,KK,01,02,03,04,05",Fall,2nd,63,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,School,629,Clarke County,3056,Barrow Elementary School,"PK,KK,01,02,03,04,05",Fall,2nd,77,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,School,629,Clarke County,0205,Gaines Elementary School,"PK,KK,01,02,03,04,05",Fall,2nd,83,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,School,629,Clarke County,0291,Howard B. Stroud Elementary School,"PK,KK,01,02,03,04,05",Fall,2nd,61,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,School,629,Clarke County,0296,Burney-Harris-Lyons Middle School,"06,07,08",Fall,2nd,0,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,School,629,Clarke County,0391,Whit Davis Road Elementary School,"PK,KK,01,02,03,04,05",Fall,2nd,90,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,School,629,Clarke County,1058,Clarke Middle School,"06,07,08",Fall,2nd,0,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,District,629,Clarke County,ALL,All Column Values,"PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",Fall,2nd,1038,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,School,629,Clarke County,4060,Oglethorpe Avenue Elementary School,"PK,KK,01,02,03,04,05",Fall,2nd,86,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,School,629,Clarke County,5056,Chase Street Elementary School,"PK,KK,01,02,03,04,05",Fall,2nd,96,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,School,629,Clarke County,5058,Hilsman Middle School,"06,07,08",Fall,2nd,0,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,School,629,Clarke County,5556,Clarke Central High School,"09,10,11,12",Fall,2nd,0,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,School,629,Clarke County,0105,Alps Road Elementary School,"PK,KK,01,02,03,04,05",Fall,3rd,50,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,School,629,Clarke County,0112,Judia Jackson Harris Elementary,"PK,KK,01,02,03,04,05",Fall,3rd,66,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,School,629,Clarke County,0178,Timothy Elementary School,"PK,KK,01,02,03,04,05",Fall,3rd,79,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,School,629,Clarke County,0191,Cleveland Road Elementary School,"PK,KK,01,02,03,04,05",Fall,3rd,35,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,School,629,Clarke County,0104,Classic City High School,"09,10,11,12",Fall,3rd,0,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,School,629,Clarke County,0102,Cedar Shoals High School,"09,10,11,12",Fall,3rd,0,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,School,629,Clarke County,1058,Clarke Middle School,"06,07,08",Fall,3rd,0,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,School,629,Clarke County,1062,Whitehead Road Elementary School,"PK,KK,01,02,03,04,05",Fall,3rd,120,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,School,629,Clarke County,2056,Barnett Shoals Elementary School,"PK,KK,01,02,03,04,05",Fall,3rd,82,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,School,629,Clarke County,2062,Winterville Elementary School,"PK,KK,01,02,03,04,05",Fall,3rd,70,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,School,629,Clarke County,3056,Barrow Elementary School,"PK,KK,01,02,03,04,05",Fall,3rd,71,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,School,629,Clarke County,0205,Gaines Elementary School,"PK,KK,01,02,03,04,05",Fall,3rd,70,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,School,629,Clarke County,0291,Howard B. Stroud Elementary School,"PK,KK,01,02,03,04,05",Fall,3rd,58,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,School,629,Clarke County,0296,Burney-Harris-Lyons Middle School,"06,07,08",Fall,3rd,0,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,School,629,Clarke County,0391,Whit Davis Road Elementary School,"PK,KK,01,02,03,04,05",Fall,3rd,75,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,School,629,Clarke County,0196,Coile Middle School,"06,07,08",Fall,3rd,0,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,District,629,Clarke County,ALL,All Column Values,"PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",Fall,3rd,1020,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,School,629,Clarke County,3058,Fowler Drive Elementary School,"PK,KK,01,02,03,04,05",Fall,3rd,63,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,School,629,Clarke County,4060,Oglethorpe Avenue Elementary School,"PK,KK,01,02,03,04,05",Fall,3rd,96,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,School,629,Clarke County,5056,Chase Street Elementary School,"PK,KK,01,02,03,04,05",Fall,3rd,85,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,School,629,Clarke County,5058,Hilsman Middle School,"06,07,08",Fall,3rd,0,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,School,629,Clarke County,5556,Clarke Central High School,"09,10,11,12",Fall,3rd,0,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,District,629,Clarke County,ALL,All Column Values,"PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",Fall,4th,988,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,School,629,Clarke County,5556,Clarke Central High School,"09,10,11,12",Fall,4th,0,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,School,629,Clarke County,3058,Fowler Drive Elementary School,"PK,KK,01,02,03,04,05",Fall,4th,62,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,School,629,Clarke County,4060,Oglethorpe Avenue Elementary School,"PK,KK,01,02,03,04,05",Fall,4th,67,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,School,629,Clarke County,5056,Chase Street Elementary School,"PK,KK,01,02,03,04,05",Fall,4th,69,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,School,629,Clarke County,5058,Hilsman Middle School,"06,07,08",Fall,4th,0,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,School,629,Clarke County,1058,Clarke Middle School,"06,07,08",Fall,4th,0,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,School,629,Clarke County,1062,Whitehead Road Elementary School,"PK,KK,01,02,03,04,05",Fall,4th,128,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,School,629,Clarke County,2056,Barnett Shoals Elementary School,"PK,KK,01,02,03,04,05",Fall,4th,78,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,School,629,Clarke County,2062,Winterville Elementary School,"PK,KK,01,02,03,04,05",Fall,4th,58,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,School,629,Clarke County,3056,Barrow Elementary School,"PK,KK,01,02,03,04,05",Fall,4th,91,Enrollment_By_Grade_Level_2020_Dec112020.csv,
2019-20,School,629,Clarke County,0196,Coile Middle School,"06,07,08",Fall,4th,0,Enrollment_By_Grade_Level_2020_Dec112020.csv,
